corp_id,corp_name,school_id,school_name,grad_rate
8970,GEO Next Generation Academy,9966,GEO Next Generation Academy,85.71%
9000,Phalen Virtual Leadership Academy,9992,Phalen Virtual Leadership Academy,56.00%
9015,Purdue Polytechnic High School Ind,4271,Purdue Polytechnic High School Ind,86.46%
9035,Indiana Connections Career Academy,7947,Indiana Connections Career Academy,75.66%
9045,James & Rosemary Phalen Leadership Academy Middle School,4894,James & Rosemary Phalen Leadership Academy Middle School,***
9050,Excel Center - Clarksville,2006,Excel Center - Clarksville,14.86%
9055,Excel Center - Hammond,2018,Excel Center - Hammond,5.56%
9120,Hoosier College and Career Academy,2528,Hoosier College and Career Academy,42.00%
9135,KIPP Indy Legacy High,9138,KIPP Indy Legacy High,***
9140,BELIEVE Circle City High School,9994,BELIEVE Circle City High School,***
9145,Riverside High School,1122,Riverside High School,81.31%
9160,Excel Center - Muncie,1016,Excel Center - Muncie ,14.43%
9190,Excel Center - Gary ,1024,Excel Center - Gary ,19.35%
9305,Excel Center - Richmond,9012,Excel Center - Richmond,15.91%
9315,Signature School Inc,8295,Signature School Inc,100.00%
9320,Community Montessori Inc,1536,Community Montessori,97.50%
9325,Options Charter Schools,2524,Options Westfield,60.00%
9325,Options Charter Schools,2551,Options Noblesville,42.86%
9325,Options Charter Schools,9329,Options Indiana,20.00%
9330,Irvington Community School,1537,Irvington Community School,62.67%
9335,Excel Center - Lafayette Square,5912,Excel Center - Lafayette Square,3.74%
9345,Excel Center - Lafayette,8094,Excel Center - Lafayette,21.58%
9355,Excel Center - Kokomo,2976,Excel Center - Kokomo,22.07%
9380,Christel House Academy South,9709,Christel House Watanabe Manual High School,97.44%
9385,Christel House DORS,5532,Christel House DORS,20.28%
9445,Charles A Tindley Accelerated Sch,6208,Charles A Tindley Accelerated Sch,91.30%
9460,Thea Bowman Leadership Academy,4022,Thea Bowman Leadership Academy,69.23%
9505,Indiana Agriculture and Technology,5472,Indiana Agriculture and Technology,54.17%
9535,Gary Lighthouse Charter School,4130,Gary Lighthouse Charter School,79.65%
9539,Excel Center - Elkhart,9708,Excel Center - Elkhart,5.17%
9545,21st Century Charter Sch of Gary,4164,21st Century Charter Sch of Gary,94.51%
9575,Victory College Prep Academy,5523,Victory College Prep Academy,96.23%
